Project_ID,Project_Type,Target_Cost_INR,Actual_Cost_INR,Cost_Overrun_Percent,Target_Duration_Days,Actual_Duration_Days,Timeline_Overrun_Days,Project_Start_Date,Project_End_Date_Planned,Project_End_Date_Actual,Voltage_Level_kV,Line_Length_km,Number_of_Bays,Terrain_Complexity_Index,Environmental_Impact_Severity,Forest_Land_Required_Ha,Num_Required_Permits,Average_Permit_Lag_Days,Right_of_Way_Delay_Severity,Regulatory_Hotspot_Region,Labour_Cost_Estimate_INR,Material_Cost_Estimate_INR,Num_Skilled_Workers_Required,Vendor_Performance_Rating,Num_Vendor_Change_Events,Material_Availability_Issue,Annual_Rainfall_mm,Num_Extreme_Weather_Days,Commodity_Price_Index_Start,Commodity_Price_Change_During_Project,Historical_Local_Delay_Index,Escalation_Reason_Material,Escalation_Reason_Regulatory,Escalation_Reason_Manpower,Qualitative_Risk_Score,Year,Cost_Per_km_Cr,Duration_Efficiency,Risk_Flag
Grid Management Dhanbad_01010,Grid Management,875563057.524049,1626990506.35087,85.8221966275894,315,439,124,2008-06-24,2009-05-05,2009-09-06,220,262.3,7,Medium (Plateau),Low,43.2202,7,50.7,High,West Bengal,533867701.92,2098402817.62,521,7.1,1,1,1455,28,103.2,1.4,3.2,0,1,0,6,2008-09,1.02,0.718,0
Haridwar-Hubli Transmission System 400kV_01011,Transmission System,40449687268.0276,35945209399.5363,-11.136001716512,1674,1585,-89,2023-08-07,2028-03-07,2027-12-09,400,291.3,18,High (Hilly),Moderate,154.1637,40,200,High,Gujarat,53537783988.92,209752801105.04,3000,8.1,1,1,795,11,119.6,9.3,1.3,1,1,1,7,2023-24,104.11,1.056,0
Ludhiana-Meerut Cross-Border Transmission Line 765/400kV_01012,Cross-Border Transmission Line,7179675267.80956,9150130808.78879,27.4449117471074,871,1103,232,2009-06-14,2011-11-02,2012-06-21,765,115.2,2,Moderate,High,13.1894,7,25.6,Medium,West Bengal,8337204616.63,29793460865.32,2772,6.7,0,0,1316,13,113.9,2.3,3.2,1,0,1,2,2009-10,36.62,0.79,1
Ludhiana-Meerut Cross-Border Transmission Line 765/400kV_01012,Cross-Border Transmission Line,7179675267.80956,9150130808.78879,27.4449117471074,871,1103,232,2009-06-14,2011-11-02,2012-06-21,400,115.2,2,Moderate,High,13.1894,7,25.6,Medium,West Bengal,8337204616.63,29793460865.32,2772,6.7,0,0,1316,13,113.9,2.3,3.2,1,0,1,2,2009-10,36.62,0.79,1
Karnal-Jalandhar Cross-Border Transmission Line 765kV_01013,Cross-Border Transmission Line,6548391388.88844,9405294233.53152,43.6275517906699,540,616,76,2020-01-05,2021-06-28,2021-09-12,765,201.1,9,Moderate (Hilly),High,37.1,14,127.4,High,Jharkhand,5841045797.45,24604795286.2,1953,8.5,0,0,1488,28,108.8,-5.1,2.2,0,1,1,1,2020-21,15.6,0.877,0
Warora-Chennai Transmission System 220kV_01014,Transmission System,10564453538.9128,13301614302.6546,25.9091561495331,443,519,76,2021-11-23,2023-02-09,2023-04-26,220,1048.5,18,Low (Desert),Moderate,0,11,65.8,Low,Rajasthan,6504061432.68,41051468491.76,3000,7.8,0,0,450,17,116.3,3.7,1.7,0,1,1,4,2021-22,5.16,0.854,0
Durgapur-Raipur Transmission System 220kV_01015,Transmission System,31976529762.0904,31685544572.4817,-0.909996149593704,1510,1533,23,2015-12-12,2020-01-30,2020-02-22,220,329.2,29,Moderate,Low,36.7272,29,123.2,Medium,Rajasthan,27716222653.37,147855222272.1,3000,3.4,4,1,318,13,104,-0.2,2.8,1,1,1,6,2015-16,79.77,0.985,1
Solar Generation Tiruchirappalli_01016,Solar Generation,356753022.896777,769170113.625084,115.602970194771,386,232,-154,2013-03-01,2014-03-22,2013-10-19,220,63.5,1,Low (Plain),Moderate,0,8,44,Medium,Madhya Pradesh,156911822.57,739240116.5,158,9.1,0,0,838,9,105.2,1.5,2.4,0,0,0,4,2013-14,1.44,1.664,0
Aurangabad-Pondicherry Transmission System 400kV_01017,Transmission System (TBCB),32500922770.9884,29786141494.7671,-8.35293599308102,1085,1149,64,2012-10-16,2015-10-06,2015-12-09,400,26.9,31,Low (Plain),Moderate,0,29,111.4,Low,Tamil Nadu,38712285949.39,162350572206.79,3000,8.1,1,1,1163,7,103.7,10.1,2.5,1,1,1,5,2012-13,871.24,0.944,1
Sikar 400kV GIS Substation_01018,Substation,13074737360.9956,13988758646.7869,6.99074299203892,300,629,329,2021-09-22,2022-07-19,2023-06-13,400,0,44,Low (Plain),Moderate,0,11,20.6,Low,Andhra Pradesh,10744070343.99,50704088117.93,2705,5.1,1,0,813,19,98.7,4.9,2.9,0,0,1,1,2021-22,0,0.477,1
Fatehgarh 132kV GIS Substation_01019,Substation,2261428344.54712,4444954692.56281,96.5551861627954,379,381,2,2018-04-07,2019-04-21,2019-04-23,132,0,26,Moderate,Moderate,5.0856,14,68.8,Low,0rthern Region,1145422707.07,6170472583.39,520,7.2,2,0,979,8,118.4,9.7,2.3,1,1,0,5,2018-19,0,0.995,1
Dehradun-Tuticorin Transmission System 765kV_01020,Transmission System,57216205775.7244,48365200883.1216,-15.4694020209885,713,739,26,2018-12-12,2020-11-24,2020-12-20,765,743,29,Low (Plain),Moderate,0,40,171.6,Moderate,Madhya Pradesh,74266465655.46,340525248741.96,3000,3.9,2,1,604,19,114.2,-2,2.2,1,1,1,8,2018-19,83.62,0.965,1
Education Project Warora_01021,CSR - Education,122170555.405057,351357488.113762,187.595883434298,405,324,-81,2024-11-04,2025-12-14,2025-09-24,220,0,0,Medium (Undulating),High,5.8751,10,83.5,Low,Madhya Pradesh,46905031.67,181479055.21,25,9.2,1,0,1107,16,118.2,2.4,2.6,0,1,0,9,2024-25,0,1.25,0
Jalandhar-Dehradun Transmission System 400kV Phase-I_01022,Transmission System,10543035569.5042,13606284916.8975,29.0547188919078,1100,1115,15,2017-07-22,2020-07-26,2020-08-10,400,235.7,6,Moderate (Hilly),High,20.1095,17,74.8,Medium,Gujarat,8302771071.79,49315597475.56,3000,8.4,0,0,539,17,111.2,-2.2,2.5,0,1,0,6,2017-18,25.88,0.987,0
Dharamshala 400kV GIS Substation_01023,Substation,13053487432.2367,15606606130.2017,19.5589011076059,904,1063,159,2010-07-24,2013-01-13,2013-06-21,400,0,33,Moderate,Low,7.0949,18,110.7,Low,Chhattisgarh,8950485649.98,58619340172.1,1950,4.9,1,1,1522,24,95.3,8.5,3,1,1,1,5,2010-11,0,0.85,1
Healthcare Project Gandhinagar_01024,CSR - Healthcare,69657305.3604103,209829865.097669,201.23167126836,402,444,42,2015-08-12,2016-09-17,2016-10-29,220,0,0,Medium (Undulating),Medium,4.8349,11,53.5,Moderate,Gujarat,15036898.72,103064175.7,25,8.5,1,1,890,13,96.4,1.8,2.5,0,0,1,5,2015-16,0,0.905,0
Dehradun-Jaipur Transmission System 33kV Phase-II_01025,Transmission System,28928157473.8414,29284753558.2958,1.23269546211793,1751,1777,26,2019-10-13,2024-07-29,2024-08-24,33,1306.4,41,Moderate (Hilly),Moderate,195.2713,29,107.3,Low,Uttar Pradesh,29857953295.3,118739107397.86,3000,6.7,0,0,991,13,112.2,1.5,2.1,0,1,1,8,2019-20,12.7,0.985,0
Vijayawada-Durgapur Transmission System 765/400/220kV Phase-IV_01026,Transmission System,49978742391.2031,42353268084.9735,-15.2574353442951,559,813,254,2017-06-23,2019-01-03,2019-09-14,765,1707.3,6,Low (Desert),High,0,40,165.5,Low,Uttar Pradesh,45858885421.59,314270288629.73,3000,7.2,1,0,724,16,105.6,15,3.2,0,1,1,8,2017-18,21.39,0.688,1
Vijayawada-Durgapur Transmission System 765/400/220kV Phase-IV_01026,Transmission System,49978742391.2031,42353268084.9735,-15.2574353442951,559,813,254,2017-06-23,2019-01-03,2019-09-14,400,1707.3,6,Low (Desert),High,0,40,165.5,Low,Uttar Pradesh,45858885421.59,314270288629.73,3000,7.2,1,0,724,16,105.6,15,3.2,0,1,1,8,2017-18,21.39,0.688,1
Vijayawada-Durgapur Transmission System 765/400/220kV Phase-IV_01026,Transmission System,49978742391.2031,42353268084.9735,-15.2574353442951,559,813,254,2017-06-23,2019-01-03,2019-09-14,220,1707.3,6,Low (Desert),High,0,40,165.5,Low,Uttar Pradesh,45858885421.59,314270288629.73,3000,7.2,1,0,724,16,105.6,15,3.2,0,1,1,8,2017-18,21.39,0.688,1
Tirunelveli-Jaipur Cross-Border Transmission Line 400kV Phase-I_01027,Cross-Border Transmission Line,3448624220.54147,5057563989.51149,46.6545400738792,605,657,52,2014-05-07,2016-01-02,2016-02-23,400,78.8,6,Low (Plain),Moderate,0,9,33.3,Moderate,Punjab,2480090645.41,10161801072.41,731,7.8,0,0,479,12,107.5,5.2,2.3,0,0,0,10,2014-15,16.67,0.921,0
Hubli-Indore Transmission System 765kV_01028,Transmission System (TBCB),35793983295.0139,31532248723.2821,-11.9062875361108,1252,1192,-60,2012-12-02,2016-05-07,2016-03-08,765,48.9,20,Low (Plains),Low,0,28,116.2,Low,Odisha,47869297134.54,174684766536.6,3000,7.4,0,0,1703,25,109.2,3.3,2.8,0,1,1,6,2012-13,487.87,1.05,0
Bina-Kota Transmission Line 400kV_01029,Transmission Line,11932452289.25,14100377414.1329,18.1683116959619,543,963,420,2019-12-02,2021-05-28,2022-07-22,400,443.3,9,Low (Desert),Moderate,0,7,93,Moderate,Tamil Nadu,9659020947.85,56599099921.66,3000,4.1,1,0,811,18,98.7,15,2.6,1,1,1,9,2019-20,15.13,0.564,1
Durgapur-Meerut Transmission System 400kV_01030,Transmission System (TBCB),22099942002.8791,25010522463.3362,13.1700818946851,773,747,-26,2014-03-19,2016-04-30,2016-04-04,400,121.6,30,Medium (Undulating),Moderate,13.9124,19,117.5,Low,Rajasthan,20607044003.23,91934786381.87,3000,7.6,1,0,293,11,117.5,11.2,1.9,0,1,1,5,2014-15,102.72,1.035,0
Communication System Rajasthan_01031,Communication System,454922075.954928,1064058717.70813,133.899116782706,219,255,36,2019-02-28,2019-10-05,2019-11-10,220,138.2,0,Low (Plains),Low,0,4,40.1,Low,Rajasthan,274750245.5,966717060.95,356,7,0,0,355,15,96.1,-2.9,2.2,0,0,0,5,2019-20,0.95,0.859,0
Healthcare Project Itanagar_01032,CSR - Healthcare,88425307.0020153,293773004.209694,232.22729348624,442,506,64,2015-05-26,2016-08-10,2016-10-13,220,0,0,Medium (Undulating),Low,6.543,5,115.9,Very High,Gujarat,30536663.34,158467690.29,25,7.9,0,0,364,17,96.3,-3,1,0,1,0,6,2015-16,0,0.874,0
TBCB Subsidiary Ghaziabad_01033,TBCB Subsidiary,2041819716.19279,3651796603.16639,78.8500999478828,1090,1100,10,2020-07-09,2023-07-04,2023-07-14,220,177.1,5,Medium (Plateau),High,19.8849,8,34.5,Low,Madhya Pradesh,1638817665.25,5841805327.79,695,8,0,0,1145,12,98.7,10.2,2.1,0,0,0,4,2020-21,5.07,0.991,1
Panipat-Sikar Transmission System 220kV_01034,Transmission System (TBCB),18477707555.0826,18077840860.9313,-2.16404926292557,540,508,-32,2017-04-06,2018-09-28,2018-08-27,220,207.7,23,Medium (Plateau),Medium,27.3611,15,98.4,Low,Maharashtra,14393661748.05,89690458651.28,3000,8.2,0,1,947,15,111.7,6.9,1.8,0,1,1,3,2017-18,53.54,1.063,0
Neemuch-Jharsuguda Transmission Line 765kV Phase-IV_01035,Transmission Line (D/C),7372210979.01618,8606175472.76362,16.738051817287,465,505,40,2019-10-05,2021-01-12,2021-02-21,765,485.5,9,Low (Desert),Low,0,9,32.4,Low,Maharashtra,7433798449.65,32994987539.83,3000,7.2,2,1,929,14,115.9,8,2.2,1,1,1,10,2019-20,9.33,0.921,0
Cuttack-Unnao Transmission System 400kV_01036,Transmission System (TBCB),10558910988.5655,13080269845.9325,23.8789668754422,1212,1160,-52,2015-08-11,2018-12-05,2018-10-14,400,148.4,41,Low (Plain),Moderate,0,17,55.3,Moderate,0rthern Region,9095559564.32,38693699404.9,2494,8.9,2,0,876,19,113.3,-10.1,2.4,0,0,0,8,2015-16,32.51,1.045,0
Joint Venture Project Rourkela_01037,Joint Venture Project,16967750174.8552,16808159644.5328,-0.94055209840929,2320,2541,221,2021-12-12,2028-04-19,2028-11-26,220,525.4,5,Low (Urban),Moderate,0,13,89.9,Medium,Western Region,17101935396.56,75693855861.25,3000,8.2,1,1,1460,31,116.3,3.7,3.2,0,1,1,9,2021-22,18.97,0.913,1
Faridabad-Korba Transmission Line 400kV Phase-II_01038,Transmission Line,8749847259.28254,10334404952.0668,18.1095468964126,405,468,63,2011-05-15,2012-06-23,2012-08-25,400,88.1,8,Low (Urban),Low,0,15,50.7,Low,Southern Region,10070990371.31,34294426042.82,2092,8.1,0,0,1108,17,114,10.3,2.7,0,1,0,9,2011-12,54.76,0.865,0
Aligarh-Allahabad Cross-Border Transmission Line 132kV_01039,Cross-Border Transmission Line,2484255195.27856,3946054314.88577,58.8425505715127,658,725,67,2016-12-05,2018-09-24,2018-11-30,132,68.4,7,Medium (Undulating),Medium,10.5736,11,60.1,Medium,Assam,1110053566.42,6335657227.51,584,8.4,1,0,2202,48,114.9,6.8,3.1,0,0,0,3,2016-17,10.79,0.908,0
Education Project Jabalpur_01040,CSR - Education,263936704.267,722272005.080599,173.653490933169,232,288,56,2019-03-08,2019-10-26,2019-12-21,765,0,0,High (Hilly),Low,12.4996,18,42.8,Low,Telangana,126568059.24,504122416.53,34,7.4,1,0,1187,10,116.5,-2,2.1,0,1,0,8,2019-20,0,0.806,0
Delhi-Fatehgarh Transmission Line 765/400/220kV Phase-II_01041,Transmission Line (D/C),23341393244.4718,24931930647.2565,6.8142350635451,540,648,108,2016-03-01,2017-08-23,2017-12-09,765,70,5,Low (Desert),Low,0,24,174.1,High,Karnataka,40478740000.62,136973128296.36,3000,7.4,0,0,1109,19,115.3,8.4,2.6,0,1,1,10,2016-17,289.5,0.833,0
Delhi-Fatehgarh Transmission Line 765/400/220kV Phase-II_01041,Transmission Line (D/C),23341393244.4718,24931930647.2565,6.8142350635451,540,648,108,2016-03-01,2017-08-23,2017-12-09,400,70,5,Low (Desert),Low,0,24,174.1,High,Karnataka,40478740000.62,136973128296.36,3000,7.4,0,0,1109,19,115.3,8.4,2.6,0,1,1,10,2016-17,289.5,0.833,0
Delhi-Fatehgarh Transmission Line 765/400/220kV Phase-II_01041,Transmission Line (D/C),23341393244.4718,24931930647.2565,6.8142350635451,540,648,108,2016-03-01,2017-08-23,2017-12-09,220,70,5,Low (Desert),Low,0,24,174.1,High,Karnataka,40478740000.62,136973128296.36,3000,7.4,0,0,1109,19,115.3,8.4,2.6,0,1,1,10,2016-17,289.5,0.833,0
Srinagar-Kur0ol Transmission System 765/400kV_01042,Transmission System,51380225526.0212,44795201158.7146,-12.8162620928389,388,261,-127,2014-07-05,2015-07-28,2015-03-23,765,2079.8,42,Low (Plains),Moderate,0,40,146.3,Low,Madhya Pradesh,58005074084.62,265463822826.77,3000,7.5,1,0,1036,18,106.4,6.1,2.4,0,1,1,7,2014-15,16.6,1.487,0
Srinagar-Kur0ol Transmission System 765/400kV_01042,Transmission System,51380225526.0212,44795201158.7146,-12.8162620928389,388,261,-127,2014-07-05,2015-07-28,2015-03-23,400,2079.8,42,Low (Plains),Moderate,0,40,146.3,Low,Madhya Pradesh,58005074084.62,265463822826.77,3000,7.5,1,0,1036,18,106.4,6.1,2.4,0,1,1,7,2014-15,16.6,1.487,0
Education Project Gorakhpur_01043,CSR - Education,120724783.335377,317387682.358408,162.901844666555,423,900,477,2020-05-27,2021-07-24,2022-11-13,400,0,0,Medium (Undulating),Low,5.0618,9,43.8,Low,Rajasthan,34467533.88,227357776.73,25,3.3,2,1,382,16,100.4,0.3,1.8,0,0,1,9,2020-21,0,0.47,1
R&D Vijayawada_01044,R&D,520058052.383427,1063287391.79662,104.455519325885,362,556,194,2012-03-06,2013-03-03,2013-09-13,765,354.5,5,Low (Plain),Very High,0,4,67.3,Moderate,Gujarat,320897194.55,1170816763.13,626,7.7,1,1,797,13,102.8,8,1.6,1,0,1,7,2012-13,0.45,0.651,1
Mohali 765/400kV GIS Substation_01045,Substation,17456745474.8762,20764355811.7562,18.947462696528,786,779,-7,2016-05-14,2018-07-09,2018-07-02,765,0,28,Medium (Undulating),Moderate,5.7655,17,62.3,Medium,Ladakh,21036971054.77,72574700442.98,3000,8.5,0,0,139,16,113.4,-3,3.4,0,0,1,4,2016-17,0,1.009,0
Mohali 765/400kV GIS Substation_01045,Substation,17456745474.8762,20764355811.7562,18.947462696528,786,779,-7,2016-05-14,2018-07-09,2018-07-02,400,0,28,Medium (Undulating),Moderate,5.7655,17,62.3,Medium,Ladakh,21036971054.77,72574700442.98,3000,8.5,0,0,139,16,113.4,-3,3.4,0,0,1,4,2016-17,0,1.009,0
TBCB Subsidiary Sambalpur_01046,TBCB Subsidiary,9253425563.33638,11716912133.3223,26.622428128094,1003,1346,343,2015-02-06,2017-11-05,2018-10-14,765,230.4,6,Low (Urban),High,0,6,15,Low,West Bengal,6508046763.93,36032644627.54,2939,5.4,0,0,1851,17,96.8,-0.3,2.5,0,0,1,6,2015-16,20.82,0.745,1
Transmission Project SPV Muzaffarpur_01047,Transmission Project SPV,583397771.950435,1334714558.60598,128.782937264865,442,718,276,2020-10-25,2022-01-10,2022-10-13,400,83.6,3,Low (Plains),Moderate,0,6,54,Medium,Gujarat,386484081.35,1633055566.27,309,7.9,2,0,813,13,101.9,5.5,2.1,1,1,1,10,2020-21,2.59,0.616,1
Rural Electrification Vadodara_01048,Rural Electrification,1312028310.31261,2366736994.47618,80.3876468116973,194,632,438,2016-02-15,2016-08-27,2017-11-08,765,426.5,1,Low (Plain),Low,0,8,73.9,Moderate,West Bengal,845458538,3503279648.85,1154,4.6,4,0,1636,34,112.1,3.3,1.9,0,0,1,3,2016-17,1.17,0.307,1
Education Project Ramgarh_01049,CSR - Education,138523585.24215,377500240.510984,172.516943487338,539,426,-113,2018-08-04,2020-01-25,2019-10-04,400,0,0,Medium (Undulating),Moderate,5.676,4,31.6,Low,Karnataka,48752092.34,211534716.22,25,7,0,1,1117,16,97.3,2,2.5,0,0,0,3,2018-19,0,1.265,0
Education Project Ramgarh_01049,CSR - Education,138523585.24215,377500240.510984,172.516943487338,539,426,-113,2018-08-04,2020-01-25,2019-10-04,220,0,0,Medium (Undulating),Moderate,5.676,4,31.6,Low,Karnataka,48752092.34,211534716.22,25,7,0,1,1117,16,97.3,2,2.5,0,0,0,3,2018-19,0,1.265,0
Jalandhar-Thiruvananthapuram Transmission System 220kV_01050,Transmission System (TBCB),12132226513.4173,13938214736.8795,14.8858762360305,1337,1347,10,2013-04-07,2016-12-04,2016-12-14,220,31.5,44,Low (Plains),Low,0,13,59,Low,Karnataka,6505035156.49,44776618158.26,2627,7.3,1,1,707,17,112.9,9.7,3.1,0,1,0,3,2013-14,172.67,0.993,0
Jamnagar-Ahmedabad Transmission System 400kV Phase-I_01051,Transmission System (TBCB),28246374973.3298,28414504967.2431,0.595226800154293,700,756,56,2022-11-13,2024-10-13,2024-12-08,400,149.4,27,Low (Coastal),Moderate,0,26,128.8,Moderate,Uttar Pradesh,39093197677.37,162190471024.26,3000,7.7,1,0,889,10,107.3,-1.1,2.8,1,1,1,4,2022-23,167.71,0.926,1
Healthcare Project Solapur_01052,CSR - Healthcare,44638124.7486195,132812166.209489,197.530792248607,341,334,-7,2020-06-14,2021-05-21,2021-05-14,400,0,0,Low (Plains),Medium,0,8,84.4,Low,Tamil Nadu,11526669.57,64004921.96,25,8.5,0,1,696,14,112.4,-7.1,2.4,1,1,0,4,2020-21,0,1.021,0
Bilaspur 132kV GIS Substation_01053,Substation,5489948749.66132,7834746576.5083,42.7107416438384,563,398,-165,2013-06-19,2015-01-03,2014-07-22,132,0,38,Low (Plain),Moderate,0,9,111.4,High,Karnataka,4865035778.32,22414423459.7,1207,6.6,1,1,732,18,107.5,12.8,2,0,1,1,4,2013-14,0,1.415,0
Raichur-Kolkata Transmission Line 765/400kV Phase-II_01054,Transmission Line,25878255536.8593,26474756430.1068,2.30502744822916,839,848,9,2022-07-06,2024-10-22,2024-10-31,765,54.4,6,Low (Plain),Moderate,0,21,98.6,Low,Andhra Pradesh,24608786597.83,120543878447.42,3000,8.5,1,0,1019,5,112.9,4.1,3.8,0,1,1,6,2022-23,300.69,0.989,0
Raichur-Kolkata Transmission Line 765/400kV Phase-II_01054,Transmission Line,25878255536.8593,26474756430.1068,2.30502744822916,839,848,9,2022-07-06,2024-10-22,2024-10-31,400,54.4,6,Low (Plain),Moderate,0,21,98.6,Low,Andhra Pradesh,24608786597.83,120543878447.42,3000,8.5,1,0,1019,5,112.9,4.1,3.8,0,1,1,6,2022-23,300.69,0.989,0
R&D Bokaro_01055,R&D,745810431.085733,1535428636.56385,105.873848442776,675,586,-89,2016-09-25,2018-08-01,2018-05-04,765,366.4,3,Low (Plains),Moderate,0,10,67.7,Moderate,Karnataka,326465284.72,1986221035.95,1023,9,2,1,926,7,95.6,-2.4,2.6,0,0,0,4,2016-17,0.65,1.152,0
Environment Project Vadodara_01056,CSR - Environment,183274340.785777,468904277.670335,155.848295871608,364,712,348,2018-12-12,2019-12-11,2020-11-23,765,0,0,Low (Plain),High,0,11,83.7,Low,Rajasthan,61923216.36,315665168.82,25,4.8,2,0,409,9,95,5.1,2.4,0,1,1,2,2018-19,0,0.511,1
Bangalore-Kochi Transmission Line 800kV_01057,Transmission Line (D/C),8355201155.35294,11258394710.2583,34.7471413425563,807,984,177,2015-11-01,2018-01-16,2018-07-12,800,81.9,6,Moderate,Low,7.9991,11,46.6,Low,Uttar Pradesh,4970178641.24,33887864129.58,2236,8.2,0,0,1070,5,100.7,0.6,2.1,0,0,0,3,2015-16,55.41,0.82,1
Kolkata 220kV GIS Substation_01058,Substation,8093500534.52096,11552899839.3441,42.7429304547258,311,148,-163,2014-07-24,2015-05-31,2014-12-19,220,0,41,Low (Plains),Medium,0,10,94,Low,Gujarat,7630337584.01,30880368997.32,1858,8.2,0,0,758,15,104.5,1.1,1.8,1,1,0,5,2014-15,0,2.101,0
Communication System Uttar Pradesh_01059,Communication System,340716747.06993,942913310.762199,176.744045859499,237,441,204,2012-02-10,2012-10-04,2013-04-26,400,175.6,0,Low (Plain),Low,0,7,61.7,Low,Uttar Pradesh,152038643.57,617410260.02,430,6.8,1,0,675,5,118.3,7.8,2.8,0,0,1,3,2012-13,0.44,0.537,1
Environment Project Rourkela_01060,CSR - Environment,132700511.256103,415780206.614173,213.322234163623,439,378,-61,2011-03-17,2012-05-29,2012-03-29,765,0,0,Low (Desert),High,0,4,22.1,Moderate,Tripura,40993689.77,241161474.54,25,8.8,1,1,773,8,105.2,4.1,1.7,0,1,0,7,2011-12,0,1.161,0
Environment Project Rourkela_01060,CSR - Environment,132700511.256103,415780206.614173,213.322234163623,439,378,-61,2011-03-17,2012-05-29,2012-03-29,400,0,0,Low (Desert),High,0,4,22.1,Moderate,Tripura,40993689.77,241161474.54,25,8.8,1,1,773,8,105.2,4.1,1.7,0,1,0,7,2011-12,0,1.161,0
Patna 765kV GIS Substation_01061,Substation,4716265039.28638,6452819157.14491,36.8205370858736,272,588,316,2019-04-28,2020-01-25,2020-12-06,765,0,49,Low (Plain),Low,0,10,89.9,High,Rajasthan,4276694362.71,17407452909.43,1191,5.1,0,0,399,18,106.2,-0.8,2.2,1,1,1,6,2019-20,0,0.463,1
Education Project Kota_01062,CSR - Education,93727800.4780304,255612020.708601,172.717400178953,305,224,-81,2022-10-02,2023-08-03,2023-05-14,400,0,0,Low (Urban),Low,0,13,50.3,Low,Sikkim,33846376.24,116603814.03,25,4.9,0,1,1236,16,115.7,5,2.8,1,0,0,8,2022-23,0,1.362,1
Rourkela 400kV GIS Substation_01063,Substation,2746389875.83595,4395040999.90011,60.0297553734008,778,756,-22,2014-08-14,2016-09-30,2016-09-08,400,0,9,Moderate (Hilly),Very High,4.4199,9,65,Low,Madhya Pradesh,1556291493.02,8535833575.79,379,4.7,4,1,824,14,118.1,5.2,2.7,1,0,1,9,2014-15,0,1.029,1
Jaipur-Visakhapatnam HVDC Transmission Line 220kV Phase-I_01064,HVDC Transmission Line,14711838521.9292,15942466731.8845,8.36488388668077,1134,1015,-119,2021-04-08,2024-05-16,2024-01-18,220,483.3,4,Low (Desert),Moderate,0,16,80.8,Low,Jammu & Kashmir,14986126708.71,68725130859.06,3000,8.6,1,1,358,10,106.6,-0.1,3.7,0,1,1,4,2021-22,17.83,1.117,0
Rural Development Project Jalandhar_01065,CSR - Rural Development,109844525.32171,334944643.878434,204.926115250128,285,633,348,2014-01-13,2014-10-25,2015-10-08,132,0,0,Low (Desert),Moderate,0,8,95,High,Sikkim,34240543.29,163467649.76,25,5.5,2,1,797,14,104.5,0,1.8,0,1,1,5,2014-15,0,0.45,1
Bokaro-Siliguri Cross-Border Transmission Line 400kV_01066,Cross-Border Transmission Line,9506875340.28983,11958595111.1398,25.7889125826617,566,570,4,2018-03-15,2019-10-02,2019-10-06,400,186.8,10,Medium (Undulating),Low,33.0776,17,117.2,High,Karnataka,7073508604.79,38042100162.93,2607,8.3,1,0,1363,14,101.7,5,2,1,1,0,4,2018-19,27.52,0.993,0
Communication System Bihar_01067,Communication System,290500586.736865,755756785.071088,160.156715537257,308,263,-45,2018-12-27,2019-10-31,2019-09-16,400,136.6,0,Low (Urban),Low,0,4,44.9,Moderate,Bihar,168600106.86,631403817.71,274,8.1,1,0,1061,16,117.5,2.7,2.2,0,0,0,5,2018-19,0.62,1.171,0
Nagpur-Rajkot Transmission Line 132kV_01068,Transmission Line (D/C),3449042920.50295,4954816118.996,43.6577112317719,700,704,4,2018-05-22,2020-04-21,2020-04-25,132,294.5,7,Moderate (Hilly),Low,37.0533,11,69.1,Moderate,Karnataka,1914302915.12,11167614258.84,1607,4.7,2,0,655,15,119.5,5.6,2.2,0,0,0,5,2018-19,5.98,0.994,1
Joint Venture Project Jabalpur_01069,Joint Venture Project,9323193751.48045,11677268785.4718,25.2496633314905,1102,1104,2,2016-10-13,2019-10-20,2019-10-22,220,571.8,6,Low (Plain),Moderate,0,12,54.9,Moderate,Punjab,11082253036.57,42572503041.42,3000,6.6,0,0,538,16,111.1,4.2,1.7,0,0,0,7,2016-17,9.74,0.998,0
Transmission Project SPV Ranchi_01070,Transmission Project SPV,418408607.709811,862369811.141166,106.107091309954,626,714,88,2015-08-08,2017-04-25,2017-07-22,400,47.6,1,Medium (Undulating),Moderate,7.1697,4,15.8,Low,Odisha,224862668.33,880130982.02,152,3.9,1,1,1290,24,113.2,-1.1,3.9,1,0,0,3,2015-16,3.56,0.877,1
Jaisalmer-Ahmedabad Transmission Line 220kV_01071,Transmission Line,2841065550.49975,4697429270.79097,65.3404044114607,1016,1031,15,2020-01-11,2022-10-23,2022-11-07,220,348,2,Low (Plains),Medium,0,15,87.6,Moderate,Maharashtra,2628477874.42,8749414618.08,1616,7.3,2,1,1202,19,106.6,2,1.7,0,1,1,3,2020-21,3.23,0.985,0
Hubli-Panipat Transmission Line 765/400/220kV_01072,Transmission Line,26590071366.36,26785420312.378,0.734668754086686,1092,1109,17,2009-04-01,2012-03-28,2012-04-14,765,134.7,11,Low (Urban),High,0,22,111.2,Low,Andhra Pradesh,33821422034.84,129464061359.19,3000,7.5,1,0,802,11,118,-3,2.2,0,1,1,4,2009-10,130.45,0.985,0
Hubli-Panipat Transmission Line 765/400/220kV_01072,Transmission Line,26590071366.36,26785420312.378,0.734668754086686,1092,1109,17,2009-04-01,2012-03-28,2012-04-14,400,134.7,11,Low (Urban),High,0,22,111.2,Low,Andhra Pradesh,33821422034.84,129464061359.19,3000,7.5,1,0,802,11,118,-3,2.2,0,1,1,4,2009-10,130.45,0.985,0
